year,tile,link
2015,1,https://data.ngdc.noaa.gov/instruments/remote-sensing/passive/spectrometers-radiometers/imaging/viirs/dnb_composites/v10//2015/SVDNB_npp_20150101-20151231_75N180W_v10_c201701311200.tgz
2015,2,https://data.ngdc.noaa.gov/instruments/remote-sensing/passive/spectrometers-radiometers/imaging/viirs/dnb_composites/v10//2015/SVDNB_npp_20150101-20151231_75N060W_v10_c201701311200.tgz
2015,3,https://data.ngdc.noaa.gov/instruments/remote-sensing/passive/spectrometers-radiometers/imaging/viirs/dnb_composites/v10//2015/SVDNB_npp_20150101-20151231_75N060E_v10_c201701311200.tgz
2015,4,https://data.ngdc.noaa.gov/instruments/remote-sensing/passive/spectrometers-radiometers/imaging/viirs/dnb_composites/v10//2015/SVDNB_npp_20150101-20151231_00N180W_v10_c201701311200.tgz
2015,5,https://data.ngdc.noaa.gov/instruments/remote-sensing/passive/spectrometers-radiometers/imaging/viirs/dnb_composites/v10//2015/SVDNB_npp_20150101-20151231_00N060W_v10_c201701311200.tgz
2015,6,https://data.ngdc.noaa.gov/instruments/remote-sensing/passive/spectrometers-radiometers/imaging/viirs/dnb_composites/v10//2015/SVDNB_npp_20150101-20151231_00N060E_v10_c201701311200.tgz
2016,1,https://data.ngdc.noaa.gov/instruments/remote-sensing/passive/spectrometers-radiometers/imaging/viirs/dnb_composites/v10//2016/SVDNB_npp_20160101-20161231_75N180W_v10_c201807311200.tgz
2016,2,https://data.ngdc.noaa.gov/instruments/remote-sensing/passive/spectrometers-radiometers/imaging/viirs/dnb_composites/v10//2016/SVDNB_npp_20160101-20161231_75N060W_v10_c201807311200.tgz
2016,3,https://data.ngdc.noaa.gov/instruments/remote-sensing/passive/spectrometers-radiometers/imaging/viirs/dnb_composites/v10//2016/SVDNB_npp_20160101-20161231_75N060E_v10_c201807311200.tgz
2016,4,https://data.ngdc.noaa.gov/instruments/remote-sensing/passive/spectrometers-radiometers/imaging/viirs/dnb_composites/v10//2016/SVDNB_npp_20160101-20161231_00N180W_v10_c201807311200.tgz
2016,5,https://data.ngdc.noaa.gov/instruments/remote-sensing/passive/spectrometers-radiometers/imaging/viirs/dnb_composites/v10//2016/SVDNB_npp_20160101-20161231_00N060W_v10_c201807311200.tgz
2016,6,https://data.ngdc.noaa.gov/instruments/remote-sensing/passive/spectrometers-radiometers/imaging/viirs/dnb_composites/v10//2016/SVDNB_npp_20160101-20161231_00N060E_v10_c201807311200.tgz
2017,1,
2017,2,
2017,3,
2017,4,
2017,5,
2017,6,
2018,1,
2018,2,
2018,3,
2018,4,
2018,5,
2018,6,
2019,1,https://data.ngdc.noaa.gov/instruments/remote-sensing/passive/spectrometers-radiometers/imaging/viirs/dnb_composites/v10//201904/vcmcfg/SVDNB_npp_20190401-20190430_75N180W_vcmcfg_v10_c201905191000.tgz
2019,2,https://data.ngdc.noaa.gov/instruments/remote-sensing/passive/spectrometers-radiometers/imaging/viirs/dnb_composites/v10//201904/vcmcfg/SVDNB_npp_20190401-20190430_75N060W_vcmcfg_v10_c201905191000.tgz
2019,3,https://data.ngdc.noaa.gov/instruments/remote-sensing/passive/spectrometers-radiometers/imaging/viirs/dnb_composites/v10//201904/vcmcfg/SVDNB_npp_20190401-20190430_75N060E_vcmcfg_v10_c201905191000.tgz
2019,4,https://data.ngdc.noaa.gov/instruments/remote-sensing/passive/spectrometers-radiometers/imaging/viirs/dnb_composites/v10//201904/vcmcfg/SVDNB_npp_20190401-20190430_00N180W_vcmcfg_v10_c201905191000.tgz
2019,5,https://data.ngdc.noaa.gov/instruments/remote-sensing/passive/spectrometers-radiometers/imaging/viirs/dnb_composites/v10//201904/vcmcfg/SVDNB_npp_20190401-20190430_00N060W_vcmcfg_v10_c201905191000.tgz
2019,6,https://data.ngdc.noaa.gov/instruments/remote-sensing/passive/spectrometers-radiometers/imaging/viirs/dnb_composites/v10//201904/vcmcfg/SVDNB_npp_20190401-20190430_00N060E_vcmcfg_v10_c201905191000.tgz
